forwardEulerRC      deltaT = 1.000000 ns
Time           V1             V2             
53.2           0.35236        0.20927        
53.4           0.34245        0.20794        
53.6           0.33291        0.20648        
53.8           0.32372        0.20487        
54.0           0.31487        0.20315        
54.2           0.30634        0.20133        
54.4           0.29811        0.19940        
54.6           0.29018        0.19739        
54.8           0.28252        0.19529        
55.0           0.27512        0.19313        
55.2           0.26798        0.19091        
55.4           0.26108        0.18863        
55.6           0.25441        0.18631        
55.8           0.24796        0.18394        
56.0           0.24172        0.18155        
56.2           0.23568        0.17912        
56.4           0.22984        0.17667        
56.6           0.22418        0.17420        
56.8           0.21869        0.17171        
57.0           0.21338        0.16922        
57.2           0.20823        0.16672        
57.4           0.20323        0.16421        
57.6           0.19839        0.16171        
57.8           0.19369        0.15921        
58.0           0.18912        0.15671        
58.2           0.18469        0.15423        
58.4           0.18039        0.15175        
58.6           0.17621        0.14929        
58.8           0.17215        0.14684        
59.0           0.16820        0.14441        
59.2           0.16436        0.14200        
59.4           0.16062        0.13961        
59.6           0.15699        0.13724        
59.8           0.15346        0.13489        
60.0           0.15002        0.13256        
60.2           0.14667        0.13026        
60.4           0.14740        0.12798        
60.6           0.15207        0.12581        
60.8           0.16050        0.12382        
61.0           0.17256        0.12208        
61.2           0.18810        0.12064        
61.4           0.20299        0.11958        
61.6           0.21726        0.11886        
61.8           0.23094        0.11845        
62.0           0.24408        0.11833        
62.2           0.25668        0.11848        
62.4           0.26878        0.11887        
62.6           0.28041        0.11949        
62.8           0.29158        0.12032        
63.0           0.30232        0.12134        
63.2           0.31266        0.12253        
63.4           0.32260        0.12388        
63.6           0.33218        0.12538        
63.8           0.34140        0.12701        
64.0           0.35028        0.12876        
64.2           0.35885        0.13061        
64.4           0.36710        0.13256        
64.6           0.37507        0.13460        
64.8           0.38276        0.13672        
65.0           0.39018        0.13891        
65.2           0.39735        0.14115        
65.4           0.40428        0.14346        
65.6           0.41098        0.14580        
65.8           0.41746        0.14819        
66.0           0.42372        0.15061        
66.2           0.42979        0.15306        
66.4           0.43566        0.15554        
66.6           0.44134        0.15803        
66.8           0.44685        0.16053        
67.0           0.45218        0.16305        
67.2           0.45736        0.16557        
67.4           0.46238        0.16809        
67.6           0.46724        0.17062        
67.8           0.47197        0.17314        
68.0           0.47655        0.17565        
68.2           0.48100        0.17816        
68.4           0.48532        0.18065        
68.6           0.48952        0.18313        
68.8           0.49361        0.18560        
69.0           0.49757        0.18804        
69.2           0.50143        0.19047        
69.4           0.50518        0.19288        
69.6           0.50883        0.19527        
69.8           0.51239        0.19764        
70.0           0.51584        0.19998        
70.2           0.51921        0.20230        
70.4           0.51849        0.20459        
70.6           0.51384        0.20678        
70.8           0.50542        0.20878        
71.0           0.49338        0.21054        
71.2           0.47786        0.21199        
71.4           0.46298        0.21306        
71.6           0.44872        0.21380        
71.8           0.43505        0.21422        
72.0           0.42193        0.21435        
72.2           0.40934        0.21422        
72.4           0.39725        0.21384        
72.6           0.38564        0.21323        
72.8           0.37448        0.21241        
73.0           0.36375        0.21141        
73.2           0.35343        0.21022        
73.4           0.34349        0.20888        
73.6           0.33393        0.20740        
73.8           0.32472        0.20578        
74.0           0.31585        0.20404        
74.2           0.30730        0.20220        
74.4           0.29905        0.20026        
74.6           0.29109        0.19823        
74.8           0.28341        0.19612        
75.0           0.27600        0.19394        
75.2           0.26884        0.19171        
75.4           0.26192        0.18941        
75.6           0.25523        0.18708        
75.8           0.24876        0.18470        
76.0           0.24250        0.18229        
76.2           0.23645        0.17984        
76.4           0.23059        0.17738        
76.6           0.22491        0.17490        
76.8           0.21941        0.17240        
77.0           0.21409        0.16989        
77.2           0.20892        0.16738        
77.4           0.20391        0.16486        
77.6           0.19905        0.16234        
77.8           0.19434        0.15983        
78.0           0.18976        0.15732        
78.2           0.18532        0.15483        
78.4           0.18100        0.15234        
78.6           0.17681        0.14987        
78.8           0.17273        0.14741        
79.0           0.16877        0.14497        
79.2           0.16492        0.14254        
79.4           0.16117        0.14014        
79.6           0.15753        0.13776        
79.8           0.15398        0.13540        
80.0           0.15053        0.13306        
80.2           0.14717        0.13075        
80.4           0.14790        0.12846        
80.6           0.15255        0.12628        
80.8           0.16098        0.12428        
81.0           0.17302        0.12253        
81.2           0.18855        0.12109        
81.4           0.20343        0.12002        
81.6           0.21770        0.11929        
81.8           0.23137        0.11887        
82.0           0.24450        0.11874        
82.2           0.25709        0.11888        
82.4           0.26918        0.11927        
82.6           0.28080        0.11988        
82.8           0.29197        0.12070        
83.0           0.30270        0.12171        
83.2           0.31303        0.12290        
83.4           0.32297        0.12424        
83.6           0.33253        0.12573        
83.8           0.34175        0.12735        
84.0           0.35062        0.12909        
84.2           0.35918        0.13094        
84.4           0.36743        0.13289        
84.6           0.37539        0.13492        
84.8           0.38308        0.13703        
85.0           0.39049        0.13921        
85.2           0.39766        0.14145        
85.4           0.40458        0.14375        
85.6           0.41127        0.14609        
85.8           0.41774        0.14847        
86.0           0.42400        0.15089        
86.2           0.43006        0.15333        
86.4           0.43592        0.15580        
86.6           0.44160        0.15829        
86.8           0.44711        0.16079        
87.0           0.45244        0.16330        
87.2           0.45761        0.16582        
87.4           0.46262        0.16834        
87.6           0.46748        0.17085        
87.8           0.47220        0.17337        
88.0           0.47678        0.17588        
88.2           0.48122        0.17838        
88.4           0.48554        0.18087        
88.6           0.48974        0.18334        
88.8           0.49382        0.18581        
89.0           0.49778        0.18825        
89.2           0.50163        0.19068        
89.4           0.50538        0.19308        
89.6           0.50903        0.19547        
89.8           0.51258        0.19783        
90.0           0.51603        0.20017        
90.2           0.51939        0.20248        
90.4           0.51866        0.20477        
90.6           0.51401        0.20695        
90.8           0.50559        0.20895        
91.0           0.49355        0.21071        
91.2           0.47802        0.21215        
91.4           0.46314        0.21322        
91.6           0.44888        0.21396        
91.8           0.43520        0.21438        
92.0           0.42208        0.21451        
92.2           0.40949        0.21437        
92.4           0.39740        0.21398        
92.6           0.38578        0.21337        
92.8           0.37462        0.21255        
93.0           0.36388        0.21154        
93.2           0.35356        0.21036        
93.4           0.34362        0.20902        
93.6           0.33406        0.20753        
93.8           0.32485        0.20591        
94.0           0.31597        0.20417        
94.2           0.30742        0.20232        
94.4           0.29917        0.20038        
94.6           0.29121        0.19834        
94.8           0.28353        0.19623        
95.0           0.27611        0.19406        
95.2           0.26895        0.19182        
95.4           0.26202        0.18952        
95.6           0.25533        0.18718        
95.8           0.24886        0.18480        
96.0           0.24261        0.18239        
96.2           0.23655        0.17994        
96.4           0.23069        0.17748        
96.6           0.22501        0.17499        
96.8           0.21951        0.17249        
97.0           0.21418        0.16998        
97.2           0.20901        0.16747        
97.4           0.20400        0.16495        
97.6           0.19914        0.16243        
97.8           0.19442        0.15992        
98.0           0.18984        0.15741        
98.2           0.18540        0.15491        
98.4           0.18108        0.15242        
98.6           0.17688        0.14994        
98.8           0.17281        0.14748        
99.0           0.16885        0.14504        
99.2           0.16499        0.14262        
99.4           0.16124        0.14021        
99.6           0.15760        0.13783        
99.8           0.15405        0.13547        
100.0          0.15060        0.13313        

RK4_RC      deltaT = 1.000000
Time           V1             V2             
0.0            0.00000        0.00000        
1.0            0.04688        0.00150        
2.0            0.12947        0.00947        
3.0            0.19808        0.02279        
4.0            0.25563        0.03938        
5.0            0.30435        0.05776        
6.0            0.34594        0.07687        
7.0            0.38173        0.09601        
8.0            0.41275        0.11469        
9.0            0.43981        0.13260        
10.0           0.46354        0.14956        
11.0           0.43758        0.16396        
12.0           0.37350        0.17080        
13.0           0.32134        0.17116        
14.0           0.27844        0.16719        
15.0           0.24282        0.16040        
16.0           0.21296        0.15190        
17.0           0.18768        0.14245        
18.0           0.16611        0.13260        
19.0           0.14756        0.12273        
20.0           0.13148        0.11309        
21.0           0.16434        0.10533        
22.0           0.23463        0.10454        
23.0           0.29241        0.10964        
